"nkill","iyear","imonth","gname","targtype1_txt","weaptype1_txt","attacktype1_txt","region","time_of_year"
1,1970,2,"Other","Airports & Aircraft","Firearms","Armed Assault","Western Europe","Winter"
7,1970,2,"Other","Private Citizens & Property","Incendiary","Facility/Infrastructure Attack","Western Europe","Winter"
47,1970,2,"Other","Airports & Aircraft","Explosives","Bombing/Explosion","Western Europe","Winter"
1,1970,4,"Other","Business","Firearms","Armed Assault","Western Europe","Spring"
5,1970,6,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Incendiary","Armed Assault","Western Europe","Summer"
3,1970,6,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Armed Assault","Western Europe","Summer"
1,1970,6,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Armed Assault","Western Europe","Summer"
1,1970,6,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Armed Assault","Western Europe","Summer"
3,1970,6,"Ulster Volunteer Force (UVF)","Religious Figures/Institutions","Firearms","Armed Assault","Western Europe","Summer"
2,1970,8,"Irish Republican Army (IRA)","Police","Explosives","Bombing/Explosion","Western Europe","Summer"
1,1970,9,"Irish Republican Army (IRA)","Terrorists/Non-State Militia","Explosives","Bombing/Explosion","Western Europe","Autumn"
1,1970,9,"Other","Airports & Aircraft","Firearms","Hijacking","Western Europe","Autumn"
1,1970,9,"Protestant extremists","Private Citizens & Property","Firearms","Armed Assault","Western Europe","Autumn"
2,1970,11,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Armed Assault","Western Europe","Autumn"
1,1970,12,"Irish Republican Extremists","Private Citizens & Property","Firearms","Armed Assault","Western Europe","Winter"
1,1971,1,"Irish Republican Army (IRA)","Private Citizens & Property","Firearms","Assassination","Western Europe","Winter"
1,1971,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","Western Europe","Winter"
1,1971,2,"Irish Republican Extremists","Private Citizens & Property","Firearms","Assassination","Western Europe","Winter"
5,1971,2,"Irish Republican Army (IRA)","Military","Explosives","Bombing/Explosion","Western Europe","Winter"
1,1971,2,"Irish Republican Army (IRA)","Military","Firearms","Assassination","Western Europe","Winter"
2,1971,2,"Irish Republican Army (IRA)","Police","Firearms","Assassination","Western Europe","Winter"
